,kiwerUsername,clientId,restaurantId,restaurant.location.lat,restaurant.location.lng,location.lat,location.lng,rating,created,courierArrived,pickedUp,botLoaded,waitingForClient,closed
3023,juanbenitez,5b9c8222ef405a000496cca9,57f337b847030d0003357669,37.868349,-122.258907,37.87265749999998,-122.26030078125,5.0,1548278407735,1548279280459,1548279889629,1548280041925,1548281696147,1548281829040
3024,juanbenitez,59efcee6a1750f0004d04ae7,5b7878d0176ef70004b8251e,37.867263,-122.258759,37.8713303,-122.260108,,1548277902433,1548278708179,1548278762895,1548279043639,1548279549473,1548279803605
3025,estefania,5b75eae5b2718000048c9d2f,5af64b729a5f6700041b7ffc,37.86601,-122.267114,37.867990999999996,-122.26952360000001,,1548277768482,1548278478356,1548279002319,1548280284737,None,1548280437429
3027,juanbenitez,5a73e76281baaa0004f3ce77,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.869940799999995,-122.26837719999999,5.0,1548275847203,1548276931249,1548277097126,1548277185028,1548278341277,1548278579410
3028,valeria,5bc54c6ec5d5c90004e2d10b,57f337b847030d0003357669,37.868349,-122.258907,37.87756750000001,-122.26050390625001,5.0,1548275630269,1548276118338,1548276809757,1548277140763,1548277381575,1548277488518
3030,,5b7ee79e4753ff00044324c6,589bef66de8f980004317df2,,,37.8659366,-122.264107,5.0,1548275051787,None,None,None,None,1548275119351
3031,,5b78658c176ef70004b8234d,589bef66de8f980004317df2,,,37.8707994,-122.259307,5.0,1548274601506,None,None,None,None,1548274852887
3032,dianaleano,5bc8e6086b53a30004e6b706,59b1d7a17327b6000421f00d,37.867986,-122.257929,37.868087,-122.2505365,,1548274333948,1548276120146,1548276328279,1548276528291,1548277205860,1548277332662
3033,dianaleano,5bc6a2f621815e0004464795,5963ce3e8f904b0004b3f6c4,37.870018,-122.268605,37.8714283,-122.25470120000001,,1548274302644,1548274662645,1548274683683,1548275927829,1548276884596,1548277125123
3034,dianaleano,5bc6a2f621815e0004464795,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.8714283,-122.25470120000001,,1548274248583,1548275270968,1548275618908,1548275874559,1548276881894,1548277130406
3035,juanbenitez,5bd3f8c56cd5960004cbe144,5b08639fcf1a930004a82e22,37.8683129,-122.2581296,37.871558,-122.2703444,5.0,1548273697659,1548274812982,1548275153168,1548276349736,1548277357615,1548277606297
3036,valeria,5b64c6011e7d790004ef135b,58a6615b4432ee00048187d3,37.872342,-122.268696,37.87333110000001,-122.2648877,5.0,1548272832122,1548273304792,1548273617184,1548273898525,1548275248763,1548275406829
3037,valeria,5aefafe87fe32000040ab6a2,57f337b847030d0003357669,37.868349,-122.258907,37.8683173,-122.2534642,,1548272438270,1548274210940,1548274570834,1548275201069,1548275709833,1548275840913
3038,valeria,5b8476abca0acf0004eb8165,5af62e8ab7b06d000449e5cf,37.8686808,-122.2666105,37.8713614,-122.2575924,,1548272162923,1548272696385,1548272868698,1548273056342,1548274806484,1548274978699
3039,juanbenitez,5ac5a4cac7947a00046b1ff7,59b748bf56778d00043665fe,37.867973,-122.258093,37.8753819,-122.2639697,4.0,1548272083824,1548273374714,1548273454648,1548273885508,1548275137774,1548275393737
3040,juanbenitez,5c2d65009c7e6c0004a4355f,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.86810179999999,-122.2496357,5.0,1548271394776,1548271891115,1548272286429,1548272465711,1548273839210,1548273922646
3041,juanbenitez,5b8f2fe3a519ef0004db02f8,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.8664153,-122.2546594,5.0,1548271246519,1548271887062,1548272092487,1548273058780,1548275733903,1548275967352
3042,juanbenitez,5b020c1000a80700049fd8b9,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.865913,-122.2685346,5.0,1548271113023,1548271881683,1548272087390,1548273189739,1548274376268,1548274512070
3043,juanbenitez,59e1014040276000049cbb64,5af4e54efddc930004f0452e,37.868098,-122.2581362,37.8675806,-122.2632384,5.0,1548270146675,1548271135762,1548272858298,1548272945866,1548273640164,1548275066377
